FID,Shape,id,type,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,y_2025
7607,Polygon,7608,agrl1701,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7608,Polygon,7609,agrl1702,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7609,Polygon,7610,agrl1703,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7610,Polygon,7611,agrl1704,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7611,Polygon,7612,agrl1705,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7612,Polygon,7613,agrl1706,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7613,Polygon,7614,agrl1707,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7614,Polygon,7615,agrl1708,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7615,Polygon,7616,agrl1709,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
7616,Polygon,7617,agrl1710,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2,fes2
